,movie,year,imdb,metascore,votes,description
0,Gladiator,(2000),8.5,67,1300325,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
1,Memento,(2000),8.4,80,1092026,A man with short-term memory loss attempts to track down his wife's murderer.
2,Snatch,(2000),8.3,55,762775,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
3,Requiem for a Dream,(2000),8.3,68,744409,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
4,X-Men,(2000),7.4,64,559894,"In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men."
5,Cast Away,(2000),7.8,73,507478,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.
6,American Psycho,(2000),7.6,64,468980,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies."
7,Unbreakable,(2000),7.3,62,378505,A man learns something extraordinary about himself after a devastating accident.
8,Mission: Impossible II,(2000),6.1,59,306969,"IMF agent Ethan Hunt is sent to Sydney to find and destroy a genetically modified disease called ""Chimera""."
9,Meet the Parents,(2000),7.0,73,305194,"Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare."
10,"O Brother, Where Art Thou?",(2000),7.7,69,277816,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them."
11,Gone in Sixty Seconds,(2000),6.5,35,255888,A retired master car thief must come back to the industry and steal fifty cars with his crew in one night to save his brother's life.
12,The Patriot,(2000),7.2,63,249724,Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.
13,Wo hu cang long,(2000),7.8,94,248705,A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.
14,Almost Famous,(2000),7.9,90,246253,A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.
15,Scary Movie,(2000),6.2,48,227208,"A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer."
16,Final Destination,(2000),6.7,36,223755,"After a teenager has a terrifying vision of him and his friends dying in a plane crash, he prevents the accident only to have Death hunt them down, one by one."
17,Pitch Black,(2000),7.1,49,221693,"A commercial transport ship and its crew are marooned on a planet full of bloodthirsty creatures that only come out to feast at night. But then, they learn that a month-long eclipse is about to occur."
18,The Beach,(I) (2000),6.7,43,218441,"Vicenarian Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise, a tropical bliss. Excited and intrigued, he sets out to find it."
19,"Me, Myself & Irene",(2000),6.6,49,218256,A nice-guy cop with Dissociative Identity Disorder must protect a woman on the run from a corrupt ex-boyfriend and his associates.
20,Amores perros,(2000),8.1,83,218206,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."
21,How the Grinch Stole Christmas,(2000),6.2,46,197605,"On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town."
22,Remember the Titans,(2000),7.8,48,193386,The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.
23,Traffic,(2000),7.6,86,192462,"A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business."
24,What Women Want,(2000),6.4,47,187987,"After an accident, a chauvinistic executive gains the ability to hear what women are really thinking."
25,Miss Congeniality,(2000),6.2,43,181858,An F.B.I. Agent must go undercover in the Miss United States beauty pageant to prevent a group from bombing the event.
26,Chocolat,(2000),7.2,64,174748,A woman and her daughter open a chocolate shop in a small French village that shakes up the rigid morality of the community.
27,The Emperor's New Groove,(2000),7.3,70,174053,"Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder."
28,Chicken Run,(2000),7.0,88,173287,"When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners."
29,Charlie's Angels,(2000),5.5,52,172855,"Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal."
